,count,global_frequency,local_frequency,rareness
fama,1670,0.0004251773205834451,0.0004251773205834452,-15.526008502303482
scelus,1670,0.0004251773205834451,0.0004251773205834452,-15.526008502303482
ferrum,1633,0.00041575722425914126,0.00041575722425914136,-15.570818127184152
officium,1628,0.00041448423826937045,0.00041448423826937066,-15.576951220000112
tot,1625,0.00041372044667550796,0.00041372044667550796,-15.580640123597409
crimen,1625,0.00041372044667550796,0.00041372044667550807,-15.580640123597407
uitium,1625,0.00041372044667550796,0.0004137204466755081,-15.580640123597407
defendo,1623,0.0004132112522795997,0.00041321125227959985,-15.5831031780959
cicero,1620,0.0004124474606857372,0.00041244746068573726,-15.586803456672223
datum,1617,0.0004116836690918747,0.00041168366909187477,-15.590510593970869
potestas,1616,0.00041142907189392055,0.00041142907189392055,-15.591747834963002
ops,1609,0.0004096468915082414,0.00040964689150824147,-15.600430019140317
oppidum,1607,0.00040913769711233315,0.00040913769711233315,-15.602917581650058
mons,1606,0.000408883099914379,0.0004088830999143791,-15.604162524111668
alienus,1605,0.0004086285027164248,0.0004086285027164249,-15.60540824199685
existimo,1604,0.00040837390551847066,0.00040837390551847055,-15.606654736272164
laus,1597,0.0004065917251327915,0.0004065917251327916,-15.61540201669506
quin,1595,0.0004060825307368832,0.0004060825307368833,-15.617908282687193
praesto,1594,0.00040582793353892904,0.00040582793353892904,-15.619162594424763
seruo,1594,0.00040582793353892904,0.00040582793353892925,-15.619162594424763
tollo,1586,0.0004037911559552958,0.0004037911559552958,-15.629225508735496
tertius,1585,0.00040353655875734163,0.00040353655875734163,-15.63048694050232
sermo,1584,0.00040328196155938747,0.00040328196155938747,-15.631749168376341
adhuc,1583,0.0004030273643614333,0.00040302736436143325,-15.63301219336306
iudico,1579,0.00040200897556961666,0.0004020089755696167,-15.638072284613799
respondeo,1574,0.0004007359895798459,0.00040073598957984596,-15.644415455170385
qualis,1567,0.00039895380919416677,0.0003989538091941669,-15.65332982841304
unde,1561,0.0003974262260064418,0.00039742622600644174,-15.66100247209422
oportet,1559,0.0003969170316105335,0.0003969170316105336,-15.66356657500953
tamquam,1559,0.0003969170316105335,0.0003969170316105336,-15.66356657500953
probo,1559,0.0003969170316105335,0.00039691703161053363,-15.66356657500953
gloria,1558,0.00039666243441257936,0.00039666243441257936,-15.664849860263695
orbis,1555,0.00039589864281871687,0.000395898642818717,-15.668704663898414
poena,1546,0.0003936072680371294,0.0003936072680371295,-15.680313854830349
quamquam,1544,0.00039309807364122114,0.00039309807364122114,-15.68290285195564
uix,1542,0.0003925888792453128,0.0003925888792453128,-15.685495204878533
ualeo,1537,0.000391315893255542,0.000391315893255542,-15.691990826047892
clarus,1534,0.0003905521016616795,0.0003905521016616796,-15.69589834927068
solum,1532,0.0003900429072657712,0.0003900429072657714,-15.69850761252401
peruenio,1531,0.00038978831006781703,0.0003897883100678171,-15.699813521809716
plurimus,1531,0.00038978831006781703,0.0003897883100678171,-15.699813521809716
